input,output,instruction
"Artificial Surface 94.26
",five baseball fields are surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 65.65
Water 5.36
Vegetation 24.36
Artificial Surface behind Vegetation
Water front left Vegetation
",the base ball field is covered by the green grass .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 62.92
Water 18.07
Vehicles 8.52
Markers & Obstacles 6.20
Artificial Surface behind right Markers & Obstacles
Water front left Vehicles
",a baseball field is near a row of green trees and a pond .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.84
",a road is near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.95
",four baseball fields are surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.73
Vegetation 8.86
Artificial Surface on Vegetation
",many green trees are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 36.51
Water 18.42
Vegetation 42.58
Artificial Surface to the right of Vegetation
Water behind right Artificial Surface
",a baseball field is surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.07
Vegetation 19.81
Artificial Surface behind right Vegetation
",some green trees are near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.82
Water 8.56
Vegetation 11.76
Artificial Surface behind Vegetation
Water behind left Artificial Surface
",four baseball fields are surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.56
",some green trees and several buildings are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.72
Vegetation 6.10
Artificial Surface in front Vegetation
",some green trees and several buildings are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 73.75
Water 12.44
Vegetation 9.27
Artificial Surface to the right of Vegetation
Water behind left Vegetation
",many green trees are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 100.00
",two baseball fields are surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.30
Vegetation 5.30
Artificial Surface behind right Vegetation
",a baseball field is near several green trees and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.88
",four baseball fields are surrounded by many green trees and several ponds .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.24
Water 7.46
Markers & Obstacles 6.22
Artificial Surface behind right Markers & Obstacles
Water front right Markers & Obstacles
",four baseball fields are surrounded by green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.80
Building 5.83
Markers & Obstacles 5.82
Artificial Surface behind right Markers & Obstacles
Building behind left Artificial Surface
",many green trees are around three baseball fields and a parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.25
Vegetation 12.36
Artificial Surface to the left of Vegetation
",three baseball fields are surrounded by green trees and roads .,Write a short description of a remote sensing image with the following information.
